,Src,Eqid,Datetime,Lat,Lon,Mag,Depth,Nst,Place
0,ak,10827769,1382381513000,61.6603,-150.9863,1.6,64.6,,"51km W of Willow, Alaska"
1,nc,72092331,1382380943400,37.5273,-118.8253,1,8.4,,"18km SE of Mammoth Lakes, California"
2,us,b000khyn,1382379441940,-37.8957,-75.1789,5,17.52,,"138km WSW of Lebu, Chile"
3,ci,11381730,1382376549900,34.34,-116.8828,1.2,0,24,"9km NNW of Big Bear City, California"
4,ak,10827632,1382376187000,61.398,-146.6109,3,19.4,,"32km NNW of Valdez, Alaska"
5,us,b000khxm,1382376066360,-22.533,169.6979,5,41.25,,"216km ESE of Tadine, New Caledonia"
6,nc,72092201,1382375269000,37.5267,-118.8277,1.7,7.3,,"18km SE of Mammoth Lakes, California"
7,nc,72092191,1382375050700,37.5318,-118.8252,3.8,8.3,,"18km SE of Mammoth Lakes, California"
8,nc,72092196,1382375038100,37.5292,-118.8227,1.2,7.3,,"18km SE of Mammoth Lakes, California"
9,us,b000khwl,1382372818730,-10.7485,-73.7026,4.6,113.03,,"110km NE of Mazamari, Peru"
10,pr,13294005,1382371123100,18.2642,-67.7935,2.7,8,9,"58km W of Rincon, Puerto Rico"
11,us,b000khvv,1382370926960,30.1084,-113.4532,4.7,9.95,,"76km WNW of La Libertad, Mexico"
12,ak,10827601,1382370628000,59.3193,-153.7175,2.8,100,,"83km SE of Old Iliamna, Alaska"
13,ak,10827593,1382368046000,63.5271,-152.4403,1.6,1,7,"170km ENE of McGrath, Alaska"
14,us,b000khvn,1382367716420,3.448,-31.3853,4.8,10,,Central Mid-Atlantic Ridge
15,ci,11381682,1382366469500,33.931,-116.3585,1.5,6.4,30,"4km N of Sky Valley, California"
16,ci,11381674,1382365857000,33.354,-116.3117,1,11.4,21,"12km NNE of Borrego Springs, California"
17,us,b000khuw,1382365337780,10.0269,124.3119,4.6,20.01,,"2km W of Hinlayagan Ilaud, Philippines"
18,ak,10827578,1382364991000,61.5532,-149.812,1.2,36,,"8km ENE of Big Lake, Alaska"
